dataElement,period,orgUnit,value
DeMalSus001,202401,OuLamaHC001,42
DeMalRdt001,202401,OuLamaHC001,24
DeMalMic001,202401,OuLamaHC001,8
DeMalPos001,202401,OuLamaHC001,6
DeMalPf0001,202401,OuLamaHC001,4
DeMalPv0001,202401,OuLamaHC001,2
DeMalMix001,202401,OuLamaHC001,0
DeMalSev001,202401,OuLamaHC001,0
DeMalDth001,202401,OuLamaHC001,0
DeMalTrt001,202401,OuLamaHC001,6
DeMalLln001,202401,OuLamaHC001,11
DeMalStk001,202401,OuLamaHC001,3
DeMalExp001,202401,OuLamaHC001,1
DeMalRec001,202401,OuLamaHC001,1
DeMalInd001,202401,OuLamaHC001,6
DeMalImp001,202401,OuLamaHC001,0
DePopEst001,202401,OuLamaHC001,46500
DeMalSus001,202402,OuLamaHC001,66
DeMalRdt001,202402,OuLamaHC001,36
DeMalMic001,202402,OuLamaHC001,15
DeMalPos001,202402,OuLamaHC001,10
DeMalPf0001,202402,OuLamaHC001,8
DeMalPv0001,202402,OuLamaHC001,2
DeMalMix001,202402,OuLamaHC001,0
DeMalSev001,202402,OuLamaHC001,1
DeMalDth001,202402,OuLamaHC001,0
DeMalTrt001,202402,OuLamaHC001,9
DeMalLln001,202402,OuLamaHC001,2
DeMalStk001,202402,OuLamaHC001,0
DeMalExp001,202402,OuLamaHC001,1
DeMalRec001,202402,OuLamaHC001,1
DeMalInd001,202402,OuLamaHC001,9
DeMalImp001,202402,OuLamaHC001,1
DePopEst001,202402,OuLamaHC001,46500
DeMalSus001,202403,OuLamaHC001,106
DeMalRdt001,202403,OuLamaHC001,62
DeMalMic001,202403,OuLamaHC001,26
DeMalPos001,202403,OuLamaHC001,16
DeMalPf0001,202403,OuLamaHC001,12
DeMalPv0001,202403,OuLamaHC001,4
DeMalMix001,202403,OuLamaHC001,0
DeMalSev001,202403,OuLamaHC001,1
DeMalDth001,202403,OuLamaHC001,0
DeMalTrt001,202403,OuLamaHC001,16
DeMalLln001,202403,OuLamaHC001,7
DeMalStk001,202403,OuLamaHC001,0
DeMalExp001,202403,OuLamaHC001,1
DeMalRec001,202403,OuLamaHC001,1
DeMalInd001,202403,OuLamaHC001,15
DeMalImp001,202403,OuLamaHC001,1
DePopEst001,202403,OuLamaHC001,46500
DeMalSus001,202404,OuLamaHC001,113
DeMalRdt001,202404,OuLamaHC001,67
DeMalMic001,202404,OuLamaHC001,30
DeMalPos001,202404,OuLamaHC001,21
DeMalPf0001,202404,OuLamaHC001,18
DeMalPv0001,202404,OuLamaHC001,2
DeMalMix001,202404,OuLamaHC001,1
DeMalSev001,202404,OuLamaHC001,1
DeMalDth001,202404,OuLamaHC001,0
DeMalTrt001,202404,OuLamaHC001,21
DeMalLln001,202404,OuLamaHC001,86
DeMalStk001,202404,OuLamaHC001,0
DeMalExp001,202404,OuLamaHC001,1
DeMalRec001,202404,OuLamaHC001,1
DeMalInd001,202404,OuLamaHC001,18
DeMalImp001,202404,OuLamaHC001,3
DePopEst001,202404,OuLamaHC001,46500
DeMalSus001,202405,OuLamaHC001,178
DeMalRdt001,202405,OuLamaHC001,140
DeMalMic001,202405,OuLamaHC001,22
DeMalPos001,202405,OuLamaHC001,33
DeMalPf0001,202405,OuLamaHC001,28
DeMalPv0001,202405,OuLamaHC001,5
DeMalMix001,202405,OuLamaHC001,0
DeMalSev001,202405,OuLamaHC001,1
DeMalDth001,202405,OuLamaHC001,0
DeMalTrt001,202405,OuLamaHC001,33
DeMalLln001,202405,OuLamaHC001,117
DeMalStk001,202405,OuLamaHC001,0
DeMalExp001,202405,OuLamaHC001,1
DeMalRec001,202405,OuLamaHC001,1
DeMalInd001,202405,OuLamaHC001,29
DeMalImp001,202405,OuLamaHC001,4
DePopEst001,202405,OuLamaHC001,46500
DeMalSus001,202406,OuLamaHC001,170
DeMalRdt001,202406,OuLamaHC001,108
DeMalMic001,202406,OuLamaHC001,33
DeMalPos001,202406,OuLamaHC001,26
DeMalPf0001,202406,OuLamaHC001,22
DeMalPv0001,202406,OuLamaHC001,3
DeMalMix001,202406,OuLamaHC001,1
DeMalSev001,202406,OuLamaHC001,2
DeMalDth001,202406,OuLamaHC001,0
DeMalTrt001,202406,OuLamaHC001,25
DeMalLln001,202406,OuLamaHC001,140
DeMalStk001,202406,OuLamaHC001,0
DeMalExp001,202406,OuLamaHC001,1
DeMalRec001,202406,OuLamaHC001,1
DeMalInd001,202406,OuLamaHC001,23
DeMalImp001,202406,OuLamaHC001,3
DePopEst001,202406,OuLamaHC001,46500
DeMalSus001,202407,OuLamaHC001,211
DeMalRdt001,202407,OuLamaHC001,155
DeMalMic001,202407,OuLamaHC001,29
DeMalPos001,202407,OuLamaHC001,36
DeMalPf0001,202407,OuLamaHC001,27
DeMalPv0001,202407,OuLamaHC001,8
DeMalMix001,202407,OuLamaHC001,1
DeMalSev001,202407,OuLamaHC001,2
DeMalDth001,202407,OuLamaHC001,0
DeMalTrt001,202407,OuLamaHC001,36
DeMalLln001,202407,OuLamaHC001,25
DeMalStk001,202407,OuLamaHC001,0
DeMalExp001,202407,OuLamaHC001,1
DeMalRec001,202407,OuLamaHC001,1
DeMalInd001,202407,OuLamaHC001,33
