org_unit_uid,facility,upazila,period,population,rainfall_mm,temperature_c,humidity_pct,suspected_cases,tests_rdt,tests_microscopy,confirmed_cases,pf_cases,pv_cases,mixed_cases,severe_cases,malaria_deaths,cases_treated,llins_distributed,stockout_days,reports_expected,reports_received,indigenous_cases,imported_cases
OuLamaHC001,Lama Health Complex,Lama,202401,46500,64,24.7,77,42,24,8,6,4,2,0,0,0,6,11,3,1,1,6,0
OuLamaHC001,Lama Health Complex,Lama,202402,46500,36,25.9,70,66,36,15,10,8,2,0,1,0,9,2,0,1,1,9,1
OuLamaHC001,Lama Health Complex,Lama,202403,46500,97,28.1,76,106,62,26,16,12,4,0,1,0,16,7,0,1,1,15,1
OuLamaHC001,Lama Health Complex,Lama,202404,46500,205,29.0,78,113,67,30,21,18,2,1,1,0,21,86,0,1,1,18,3
OuLamaHC001,Lama Health Complex,Lama,202405,46500,326,30.4,84,178,140,22,33,28,5,0,1,0,33,117,0,1,1,29,4
OuLamaHC001,Lama Health Complex,Lama,202406,46500,339,28.9,86,170,108,33,26,22,3,1,2,0,25,140,0,1,1,23,3
OuLamaHC001,Lama Health Complex,Lama,202407,46500,358,28.7,88,211,155,29,36,27,8,1,2,0,36,25,0,1,1,33,3
OuLamaHC001,Lama Health Complex,Lama,202408,46500,363,26.6,93,222,124,55,36,27,8,1,3,0,36,20,1,1,1,33,3
OuLamaHC001,Lama Health Complex,Lama,202409,46500,282,25.9,79,249,146,68,39,32,7,0,3,0,39,14,0,1,1,36,3
OuLamaHC001,Lama Health Complex,Lama,202410,46500,218,23.7,84,137,91,33,23,17,6,0,2,0,23,13,0,1,1,22,1
OuLamaHC001,Lama Health Complex,Lama,202411,46500,147,23.8,78,87,67,15,15,13,2,0,1,0,14,28,0,1,1,14,1
OuLamaHC001,Lama Health Complex,Lama,202412,46500,68,22.8,81,82,47,16,12,10,1,1,1,0,12,34,3,1,1,11,1
OuLamaHC001,Lama Health Complex,Lama,202501,47058,68,24.4,74,11,7,3,2,1,1,0,0,0,2,10,0,1,1,2,0
OuLamaHC001,Lama Health Complex,Lama,202502,47058,19,26.6,71,56,31,14,8,7,1,0,0,0,8,17,0,1,1,7,1
OuLamaHC001,Lama Health Complex,Lama,202503,47058,133,27.8,80,85,48,22,14,10,4,0,0,0,14,1,0,1,1,13,1
OuLamaHC001,Lama Health Complex,Lama,202504,47058,245,29.1,80,190,107,50,29,25,4,0,1,0,29,173,0,1,1,28,1
OuLamaHC001,Lama Health Complex,Lama,202505,47058,308,30.4,82,204,141,49,34,25,9,0,2,0,33,116,0,1,1,29,5
OuLamaHC001,Lama Health Complex,Lama,202506,47058,381,28.8,83,241,170,25,39,30,8,1,2,0,38,172,0,1,1,34,5
OuLamaHC001,Lama Health Complex,Lama,202507,47058,351,28.0,83,120,80,29,22,18,3,1,1,0,21,23,0,1,1,21,1
OuLamaHC001,Lama Health Complex,Lama,202508,47058,370,26.7,95,228,152,24,32,26,5,1,2,0,32,21,1,1,1,30,2
OuLamaHC001,Lama Health Complex,Lama,202509,47058,269,24.3,86,142,87,24,22,17,5,0,1,0,22,22,0,1,1,19,3
OuLamaHC001,Lama Health Complex,Lama,202510,47058,244,23.7,85,92,57,25,18,16,2,0,1,0,18,5,0,1,1,16,2
OuLamaHC001,Lama Health Complex,Lama,202511,47058,142,23.8,77,83,63,14,15,13,2,0,1,0,14,26,0,1,1,13,2
OuLamaHC001,Lama Health Complex,Lama,202512,47058,104,24.1,79,39,24,9,7,6,1,0,0,0,7,21,1,1,1,6,1
OuFasyaHC01,Fasyakhali Health Centre,Lama,202401,24100,29,24.0,69,57,38,10,9,7,2,0,1,0,9,3,0,1,1,9,0
OuFasyaHC01,Fasyakhali Health Centre,Lama,202402,24100,44,26.6,72,46,32,10,6,5,1,0,1,0,6,23,2,1,1,5,1
OuFasyaHC01,Fasyakhali Health Centre,Lama,202403,24100,109,28.3,76,88,58,12,10,8,2,0,1,0,10,7,0,1,1,9,1
OuFasyaHC01,Fasyakhali Health Centre,Lama,202404,24100,211,29.5,80,101,60,24,16,14,2,0,1,0,15,125,0,1,1,14,2
OuFasyaHC01,Fasyakhali Health Centre,Lama,202405,24100,284,30.6,88,163,109,35,21,17,4,0,2,0,20,94,0,1,1,18,3
OuFasyaHC01,Fasyakhali Health Centre,Lama,202406,24100,366,28.6,91,314,190,55,43,35,8,0,1,0,43,113,0,1,1,38,5
OuFasyaHC01,Fasyakhali Health Centre,Lama,202407,24100,372,28.3,89,251,146,46,38,28,10,0,1,0,38,30,0,1,1,34,4
OuFasyaHC01,Fasyakhali Health Centre,Lama,202408,24100,359,27.3,88,231,134,55,37,30,7,0,2,0,36,6,0,1,1,35,2
OuFasyaHC01,Fasyakhali Health Centre,Lama,202409,24100,312,25.0,86,178,118,22,22,16,6,0,1,0,22,31,0,1,1,20,2
OuFasyaHC01,Fasyakhali Health Centre,Lama,202410,24100,211,24.1,78,166,116,16,20,17,3,0,1,0,20,7,2,1,1,19,1
OuFasyaHC01,Fasyakhali Health Centre,Lama,202411,24100,123,23.7,76,61,50,8,9,7,2,0,0,0,9,24,0,1,1,8,1
OuFasyaHC01,Fasyakhali Health Centre,Lama,202412,24100,64,24.0,74,72,48,10,9,7,2,0,1,0,9,35,0,1,1,8,1
OuFasyaHC01,Fasyakhali Health Centre,Lama,202501,24389,15,25.2,73,37,24,8,5,4,1,0,0,0,5,26,2,1,1,4,1
OuFasyaHC01,Fasyakhali Health Centre,Lama,202502,24389,35,27.1,75,56,33,14,9,7,2,0,0,0,9,7,0,1,1,8,1
OuFasyaHC01,Fasyakhali Health Centre,Lama,202503,24389,106,27.6,80,95,67,21,12,9,3,0,1,0,11,11,0,1,1,11,1
OuFasyaHC01,Fasyakhali Health Centre,Lama,202504,24389,193,29.4,77,132,72,31,18,14,3,1,1,0,17,85,2,1,1,17,1
OuFasyaHC01,Fasyakhali Health Centre,Lama,202505,24389,264,29.5,90,196,116,39,30,26,4,0,1,0,30,41,0,1,1,26,4
OuFasyaHC01,Fasyakhali Health Centre,Lama,202506,24389,364,29.4,87,252,142,60,34,29,4,1,1,0,33,8,2,1,1,31,3
OuFasyaHC01,Fasyakhali Health Centre,Lama,202507,24389,378,28.8,90,185,136,24,23,18,5,0,1,0,23,9,2,1,1,21,2
OuFasyaHC01,Fasyakhali Health Centre,Lama,202508,24389,359,26.5,94,86,66,12,13,11,2,0,0,0,13,7,0,1,1,12,1
